公司名稱,公司代號,n,confidence(%),every_record
華容,5328,8,88.35,100.0 ; 59.2 ; 47.6 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
華廣,4737,3,87.92,100.0 ; 63.75 ; 100.0
華建,2530,1,66.93,66.93
華擎,3515,1,30.27,30.27
華新,1605,25,81.1,58.64 ; 11.87 ; 32.4 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 91.58 ; 96.26 ; 72.72 ; 100.0 ; 66.6 ; 2.43 ; 61.13 ; 100.0 ; 33.91 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
華新科,2492,17,80.89,50.0 ; 100.0 ; 28.85 ; 34.87 ; 100.0 ; 60.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 48.08 ; 53.33 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
華星光,4979,2,14.34,0.0 ; 28.67
華景電,6788,1,0.0,0.0
華晶科,3059,10,62.52,86.83 ; 37.2 ; 68.33 ; 65.0 ; 100.0 ; 82.5 ; 25.0 ; 22.89 ; 100.0 ; 37.5
華東,8110,12,87.1,22.16 ; 100.0 ; 53.6 ; 100.0 ; 100.0 ; 100.0 ; 88.53 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 80.9
華泰,2329,1,71.63,71.63
華盈,3520,1,30.95,30.95
華研,8446,1,73.4,73.4
華碩,2357,4,85.88,43.54 ; 100.0 ; 100.0 ; 100.0
華票,2820,1,100.0,100.0
華立,3010,3,49.97,13.2 ; 76.32 ; 60.38
華紙,1905,3,72.1,63.16 ; 100.0 ; 53.15
華經,2468,17,64.14,22.07 ; 57.9 ; 100.0 ; 100.0 ; 100.0 ; 40.0 ; 100.0 ; 90.6 ; 52.9 ; 100.0 ; 100.0 ; 100.0 ; 38.0 ; 50.5 ; 0.0 ; 8.4 ; 30.0
華義,3086,3,61.72,100.0 ; 68.2 ; 16.97
華興,6164,5,88.19,100.0 ; 80.0 ; 77.94 ; 83.03 ; 100.0
華航,2610,1,100.0,100.0
華豐,2109,1,99.72,99.72
華通,2313,9,48.09,59.11 ; 36.5 ; 33.5 ; 32.5 ; 100.0 ; 27.57 ; 10.95 ; 60.28 ; 72.38
華邦電,2344,21,81.54,21.0 ; 35.0 ; 70.0 ; 100.0 ; 100.0 ; 100.0 ; 48.75 ; 72.22 ; 100.0 ; 100.0 ; 31.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 98.92 ; 61.54 ; 74.0 ; 100.0 ; 99.95
華鎂鑫,8087,8,84.1,65.0 ; 83.88 ; 38.2 ; 99.9 ; 100.0 ; 100.0 ; 85.8 ; 100.0
華電網,6163,5,84.52,42.77 ; 100.0 ; 93.05 ; 100.0 ; 86.76
菱光,8249,4,70.57,40.0 ; 60.0 ; 95.77 ; 86.5
菱生,2369,5,85.6,100.0 ; 100.0 ; 28.0 ; 100.0 ; 100.0
萬在,4543,1,30.8,30.8
萬旭,6134,7,50.03,57.14 ; 44.8 ; 93.2 ; 80.0 ; 50.0 ; 20.0 ; 5.1
萬泰科,6190,18,80.17,100.0 ; 73.33 ; 100.0 ; 100.0 ; 83.33 ; 100.0 ; 100.0 ; 50.0 ; 12.0 ; 83.33 ; 100.0 ; 6.82 ; 100.0 ; 100.0 ; 75.22 ; 100.0 ; 86.67 ; 72.43
萬海,2615,4,50.83,100.0 ; 13.97 ; 66.76 ; 22.59
萬潤,6187,10,46.96,46.13 ; 75.4 ; 25.87 ; 65.73 ; 17.8 ; 34.4 ; 36.57 ; 30.5 ; 62.33 ; 74.83
葡萄王,1707,2,58.46,100.0 ; 16.93
蒙恬,5211,8,68.42,66.0 ; 100.0 ; 100.0 ; 0.0 ; 58.5 ; 100.0 ; 100.0 ; 22.88
蔚華科,3055,7,54.52,87.65 ; 9.2 ; 50.34 ; 28.33 ; 59.76 ; 100.0 ; 46.35
藍天,2362,21,81.75,36.26 ; 45.4 ; 54.42 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 85.67 ; 100.0 ; 36.08 ; 100.0 ; 34.0 ; 100.0 ; 50.0 ; 100.0 ; 75.0 ; 100.0 ; 100.0 ; 100.0
藥華藥,6446,2,76.0,91.72 ; 60.27
虹光,2380,16,74.84,60.84 ; 83.08 ; 100.0 ; 100.0 ; 66.67 ; 100.0 ; 100.0 ; 25.0 ; 70.67 ; 63.33 ; 68.7 ; 100.0 ; 42.74 ; 63.47 ; 74.63 ; 78.37
虹冠電,3257,3,74.78,75.0 ; 86.27 ; 63.07
虹堡,5258,1,51.4,51.4
蜜望實,8043,1,38.8,38.8
融程電,3416,3,69.13,53.8 ; 94.6 ; 59.0
裕民,2606,4,87.62,79.65 ; 94.53 ; 89.89 ; 86.41
裕隆,2201,2,56.4,100.0 ; 12.81
西柏,3541,3,76.27,89.0 ; 62.57 ; 77.25
訊映,4155,1,100.0,100.0
訊聯,1784,5,51.95,48.53 ; 11.05 ; 41.07 ; 88.71 ; 70.4
訊舟,3047,4,78.84,100.0 ; 17.02 ; 100.0 ; 98.33
訊芯-KY,6451,3,53.36,100.0 ; 0.0 ; 60.07
訊連,5203,10,87.77,87.58 ; 91.58 ; 68.58 ; 99.97 ; 69.7 ; 60.25 ; 100.0 ; 100.0 ; 100.0 ; 100.0
詠業,6792,1,100.0,100.0
詩肯,6195,3,60.17,32.0 ; 100.0 ; 48.5
詮欣,6205,6,43.24,60.08 ; 100.0 ; 0.0 ; 31.48 ; 47.0 ; 20.9
誠創,3536,1,100.0,100.0
誠研,3494,1,99.6,99.6
譁裕,3419,5,53.84,14.5 ; 100.0 ; 90.3 ; 1.49 ; 62.9
譜瑞-KY,4966,9,89.07,100.0 ; 100.0 ; 100.0 ; 20.0 ; 81.82 ; 100.0 ; 100.0 ; 99.82 ; 100.0
谷崧,3607,2,84.89,100.0 ; 69.78
豐興,2015,10,92.24,100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 22.38
豐藝,6189,4,42.93,10.0 ; 40.7 ; 86.6 ; 34.43
豐達科,3004,2,0.72,1.45 ; 0.0
豪勉,6218,1,89.5,89.5
豪展,4735,8,70.61,58.4 ; 22.3 ; 57.3 ; 100.0 ; 69.3 ; 100.0 ; 60.5 ; 97.1
資通,2471,6,70.71,33.82 ; 29.85 ; 100.0 ; 100.0 ; 100.0 ; 60.57
車王電,1533,1,82.9,82.9
軒郁,6703,1,100.0,100.0
辛耘,3583,3,100.0,100.0 ; 100.0 ; 100.0
農林,2913,2,52.68,58.01 ; 47.35
迅得,6438,1,50.0,50.0
迅德,6292,6,54.1,26.67 ; 70.0 ; 100.0 ; 67.5 ; 30.43 ; 30.0
迅杰,6243,9,60.84,95.8 ; 7.53 ; 28.13 ; 100.0 ; 100.0 ; 16.13 ; 100.0 ; 0.0 ; 100.0
迎廣,6117,3,61.67,0.0 ; 100.0 ; 85.0
迎輝,3523,2,50.79,64.86 ; 36.72
通泰,5487,5,48.18,68.6 ; 61.45 ; 4.0 ; 59.35 ; 47.5
通訊-KY,6404,2,33.29,64.88 ; 1.7
連宇,2482,5,69.01,53.08 ; 87.18 ; 8.14 ; 96.65 ; 100.0
進泰電子,3465,1,78.8,78.8
逸昌,3567,9,47.84,41.9 ; 38.7 ; 9.1 ; 99.7 ; 100.0 ; 26.25 ; 10.7 ; 89.8 ; 14.42
運錩,2069,2,77.0,100.0 ; 54.0
達威,5432,1,33.8,33.8
達新,1315,4,53.61,0.0 ; 100.0 ; 14.45 ; 100.0
達方,8163,4,100.0,100.0 ; 100.0 ; 100.0 ; 100.0
達欣工,2535,11,89.43,100.0 ; 100.0 ; 83.71 ; 100.0 ; 100.0 ; 0.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
達爾膚,6523,1,96.0,96.0
達運,6120,7,66.51,91.61 ; 47.88 ; 53.08 ; 40.1 ; 37.76 ; 98.03 ; 97.11
遠東新,1402,3,60.68,18.74 ; 77.5 ; 85.81
遠東銀,2845,4,68.76,80.0 ; 53.16 ; 100.0 ; 41.89
遠百,2903,4,78.98,52.75 ; 75.17 ; 98.97 ; 89.02
遠見,3040,10,86.25,100.0 ; 100.0 ; 40.63 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 21.83 ; 100.0
遠雄,5522,2,65.75,69.84 ; 61.66
邁達康,9960,1,74.0,74.0
邑昇,5291,2,45.98,38.5 ; 53.47
邑錡,7402,2,100.0,100.0 ; 100.0
邦特,4107,1,0.0,0.0
鄉林,5531,1,39.08,39.08
醣聯,4168,2,47.96,82.33 ; 13.6
金像電,2368,5,65.84,100.0 ; 26.6 ; 39.28 ; 100.0 ; 63.33
金利,5383,2,72.0,94.0 ; 50.0
金可-KY,8406,1,20.58,20.58
金寶,2312,9,60.42,30.54 ; 19.63 ; 100.0 ; 100.0 ; 8.19 ; 22.19 ; 100.0 ; 100.0 ; 63.21
金居,8358,1,37.07,37.07
金山電,8042,3,68.68,65.1 ; 41.6 ; 99.33
金橋,6133,10,89.38,100.0 ; 100.0 ; 100.0 ; 100.0 ; 57.49 ; 52.83 ; 100.0 ; 83.47 ; 100.0 ; 100.0
金洲,4417,8,45.88,52.57 ; 100.0 ; 13.7 ; 94.16 ; 19.15 ; 51.3 ; 11.0 ; 25.15
金益鼎,8390,2,67.78,100.0 ; 35.55
金雨,4503,5,19.78,23.7 ; 13.93 ; 21.63 ; 30.3 ; 9.35
金麗科,3228,1,100.0,100.0
鈊象,3293,1,60.0,60.0
鈞泰,6131,9,92.76,100.0 ; 100.0 ; 100.0 ; 100.0 ; 34.8 ; 100.0 ; 100.0 ; 100.0 ; 100.0
鈦昇,8027,7,81.09,50.5 ; 83.0 ; 99.1 ; 81.4 ; 87.25 ; 83.0 ; 83.4
鈺創,5351,11,78.75,100.0 ; 58.64 ; 100.0 ; 75.84 ; 100.0 ; 51.68 ; 13.75 ; 100.0 ; 100.0 ; 66.34 ; 100.0
鈺太,6679,2,45.6,41.11 ; 50.08
鈺德,3050,13,90.99,97.5 ; 100.0 ; 69.45 ; 100.0 ; 100.0 ; 34.15 ; 81.73 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
鈺緯,4153,3,59.77,22.47 ; 100.0 ; 56.83
鈺邦,6449,3,87.63,100.0 ; 62.9 ; 100.0
鈺齊-KY,9802,3,59.59,12.78 ; 100.0 ; 66.0
鉅明,8928,2,49.15,39.5 ; 58.8
鉅橡,8074,6,75.98,13.9 ; 99.9 ; 100.0 ; 78.33 ; 63.75 ; 100.0
鉅祥,2476,3,60.03,67.33 ; 12.75 ; 100.0
銘異,3060,5,52.85,100.0 ; 100.0 ; 0.0 ; 0.0 ; 64.23
錦明,3230,3,79.23,37.7 ; 100.0 ; 100.0
錩新,2415,7,71.26,72.14 ; 86.71 ; 38.0 ; 100.0 ; 100.0 ; 100.0 ; 2.0
錸寶,8104,1,100.0,100.0
錸德,2349,11,59.14,100.0 ; 50.49 ; 8.2 ; 100.0 ; 100.0 ; 78.52 ; 13.36 ; 68.9 ; 25.0 ; 100.0 ; 6.07
鑫創,3259,1,39.36,39.36
鑫創電子,6680,1,60.4,60.4
鑫禾,4999,2,93.95,87.9 ; 100.0
鑫龍騰,3188,4,95.0,100.0 ; 100.0 ; 80.0 ; 100.0
鑽全,1527,15,56.57,20.1 ; 79.93 ; 30.92 ; 0.39 ; 69.34 ; 10.0 ; 100.0 ; 48.47 ; 100.0 ; 43.6 ; 100.0 ; 72.8 ; 73.6 ; 70.27 ; 29.13
長佳,4550,1,30.77,30.77
長園科,8038,2,94.5,97.3 ; 91.69
長盛,3492,1,0.0,0.0
長科*,6548,1,72.93,72.93
長華*,8070,6,94.94,100.0 ; 100.0 ; 100.0 ; 69.63 ; 100.0 ; 100.0
開發金,2883,16,66.16,96.12 ; 100.0 ; 66.9 ; 100.0 ; 58.33 ; 31.63 ; 88.09 ; 100.0 ; 35.93 ; 78.13 ; 13.71 ; 73.09 ; 94.44 ; 26.84 ; 95.34 ; 0.0
閎康,3587,3,81.23,100.0 ; 85.5 ; 58.2
閎暉,3311,2,100.0,100.0 ; 100.0
關中,8941,3,95.43,100.0 ; 100.0 ; 86.3
關貿,6183,2,38.91,55.26 ; 22.56
陞泰,8072,1,49.7,49.7
陸海,5603,2,99.78,99.55 ; 100.0
陽程,3498,8,60.65,48.4 ; 50.4 ; 10.3 ; 41.1 ; 100.0 ; 60.0 ; 75.0 ; 100.0
隆中,6542,1,0.0,0.0
雃博,4106,1,0.0,0.0
雅茗-KY,2726,4,45.24,61.88 ; 41.4 ; 11.1 ; 66.6
集盛,1455,5,49.54,5.42 ; 54.96 ; 56.27 ; 70.0 ; 61.04
雙美,4728,1,91.8,91.8
雙鍵,4764,1,68.4,68.4
雙鴻,3324,6,43.49,9.73 ; 39.67 ; 55.1 ; 55.27 ; 24.47 ; 76.67
零壹,3029,7,56.8,62.67 ; 10.27 ; 42.53 ; 72.7 ; 94.6 ; 98.55 ; 16.3
雷科,6207,10,57.77,100.0 ; 40.88 ; 100.0 ; 73.47 ; 60.68 ; 100.0 ; 100.0 ; 0.0 ; 2.7 ; 0.0
雷笛克光學,5230,4,100.0,100.0 ; 100.0 ; 100.0 ; 100.0
震旦行,2373,7,90.77,100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 65.38 ; 70.0
霹靂,8450,1,87.47,87.47
青鋼,8930,7,53.39,17.5 ; 60.67 ; 95.7 ; 51.8 ; 29.91 ; 53.13 ; 65.0
青雲,5386,3,100.0,100.0 ; 100.0 ; 100.0
順天,5525,1,100.0,100.0
順德,2351,3,65.52,14.9 ; 91.67 ; 90.0
順達,3211,2,87.4,100.0 ; 74.8
頎邦,6147,7,61.33,100.0 ; 60.0 ; 0.0 ; 100.0 ; 72.0 ; 70.45 ; 26.84
類比科,3438,2,33.05,11.1 ; 55.0
風青,2061,4,39.86,3.65 ; 0.0 ; 55.77 ; 100.0
飛宏,2457,4,84.49,55.65 ; 100.0 ; 100.0 ; 82.32
飛寶企業,4413,1,90.6,90.6
飛捷,6206,2,81.59,97.06 ; 66.12
首利,1471,2,89.08,98.17 ; 80.0
駿吉-KY,1591,1,100.0,100.0
駿熠電,3642,4,97.27,99.5 ; 99.25 ; 100.0 ; 90.33
驊宏資,6148,2,100.0,100.0 ; 100.0
驊訊,6237,6,29.85,29.65 ; 30.0 ; 25.0 ; 0.0 ; 44.43 ; 50.03
高僑,6234,1,22.45,22.45
高技,5439,9,30.32,0.0 ; 96.0 ; 99.8 ; 6.73 ; 24.13 ; 2.7 ; 21.57 ; 16.83 ; 5.1
高林,2906,21,82.89,100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 83.55 ; 60.58 ; 99.95 ; 92.9 ; 25.0 ; 100.0 ; 50.0 ; 100.0 ; 76.41 ; 77.8 ; 91.69 ; 100.0 ; 12.0 ; 100.0 ; 70.78 ; 100.0
高林股,1531,3,67.14,81.43 ; 70.0 ; 50.0
高興昌,2008,6,82.03,87.5 ; 93.24 ; 11.44 ; 100.0 ; 100.0 ; 100.0
高鋒,4510,5,73.82,47.82 ; 100.0 ; 100.0 ; 24.32 ; 96.98
鳳凰,5706,9,61.39,100.0 ; 42.33 ; 73.13 ; 36.72 ; 0.2 ; 98.2 ; 100.0 ; 89.5 ; 12.42
鴻名,3021,5,80.66,42.86 ; 100.0 ; 100.0 ; 100.0 ; 60.45
鴻碩,3092,2,13.35,17.65 ; 9.05
鴻翊,3521,1,61.07,61.07
麗嬰房,2911,12,72.05,100.0 ; 40.0 ; 65.1 ; 45.4 ; 65.04 ; 98.63 ; 17.55 ; 100.0 ; 100.0 ; 61.06 ; 86.6 ; 85.28
麗正,2302,1,99.33,99.33
麗臺,2465,3,76.5,29.5 ; 100.0 ; 100.0
麗豐-KY,4137,2,40.82,53.13 ; 28.5
點晶,3288,2,50.0,0.0 ; 100.0
鼎元,2426,6,84.69,100.0 ; 55.0 ; 100.0 ; 100.0 ; 100.0 ; 53.12
鼎天,3306,2,73.9,80.4 ; 67.4
鼎炫-KY,8499,1,30.93,30.93
龍邦,2514,13,62.92,81.02 ; 24.84 ; 5.28 ; 100.0 ; 100.0 ; 25.82 ; 100.0 ; 100.0 ; 38.37 ; 100.0 ; 37.8 ; 54.81 ; 50.0
